name	x	y	z
FP1	0.95	0.31	0
AF7	0.81	0.59	-0
FPZ	1	-0	0
FP2	0.95	-0.31	0
AF8	0.81	-0.59	-0
F9	0.49	0.84	-0.24
F7	0.59	0.81	0
F5	0.67	0.71	0.23
AF3	0.86	0.46	0.23
AF4	0.86	-0.46	0.23
F8	0.59	-0.81	0
FT8	0.31	-0.95	-0
T8	6.12323399573677e-17	-1	0
FC6	0.36	-0.88	0.33
F6	0.67	-0.71	0.23
F4	0.7	-0.57	0.44
F2	0.74	-0.3	0.6
FZ	0.71	-0	0.71
F1	0.74	0.3	0.6
F3	0.7	0.57	0.44
FT7	0.31	0.95	-0
FC5	0.36	0.88	0.33
T7	6.12323399573677e-17	1	0
FC3	0.38	0.69	0.62
FC1	0.41	0.37	0.83
FCZ	0.38	0	0.92
FC2	0.41	-0.37	0.83
FC4	0.38	-0.69	0.62
C4	4.3474961369731e-17	-0.71	0.71
C6	5.63337527607782e-17	-0.92	0.38
TP8	-0.31	-0.95	-0
TP10	-0.26	-0.91	-0.32
CP6	-0.36	-0.88	0.33
C2	2.32682891837997e-17	-0.38	0.92
CZ	6.12323399573677e-17	0	1
C1	2.32682891837997e-17	0.38	0.92
C3	4.3474961369731e-17	0.71	0.71
C5	5.63337527607782e-17	0.92	0.38
TP7	-0.31	0.95	-0
CP5	-0.36	0.88	0.33
CP3	-0.38	0.69	0.62
CP1	-0.41	0.37	0.83
CPZ	-0.38	-4.65365783675994e-17	0.92
CP2	-0.41	-0.37	0.83
CP4	-0.38	-0.69	0.62
P4	-0.7	-0.57	0.44
P6	-0.67	-0.71	0.23
P8	-0.59	-0.81	0
PO8	-0.81	-0.59	-0
PO4	-0.86	-0.46	0.23
P2	-0.74	-0.3	0.6
PZ	-0.71	8.69499227394621e-17	0.71
P1	-0.74	0.3	0.6
P3	-0.7	0.57	0.44
P5	-0.67	0.71	0.23
P7	-0.59	0.81	0
PO7	-0.81	0.59	-0
PO3	-0.86	0.46	0.23
POZ	-0.92	-1.12667505521556e-16	0.38
O2	-0.95	-0.31	0
OZ	-1	1.22464679914735e-16	0
O1	-0.95	0.31	0
TP9	-0.26	0.91	-0.32
A1	5.32721357629099e-17	0.87	-0.5
