name	type	units	sampling_frequency
FP1	EEG	uV	250
AF7	EEG	uV	250
FPZ	EEG	uV	250
FP2	EEG	uV	250
AF8	EEG	uV	250
F9	EEG	uV	250
F7	EEG	uV	250
F5	EEG	uV	250
AF3	EEG	uV	250
AF4	EEG	uV	250
F8	EEG	uV	250
FT8	EEG	uV	250
T8	EEG	uV	250
FC6	EEG	uV	250
F6	EEG	uV	250
F4	EEG	uV	250
F2	EEG	uV	250
FZ	EEG	uV	250
F1	EEG	uV	250
F3	EEG	uV	250
FT7	EEG	uV	250
FC5	EEG	uV	250
T7	EEG	uV	250
FC3	EEG	uV	250
FC1	EEG	uV	250
FCZ	EEG	uV	250
FC2	EEG	uV	250
FC4	EEG	uV	250
C4	EEG	uV	250
C6	EEG	uV	250
TP8	EEG	uV	250
TP10	EEG	uV	250
CP6	EEG	uV	250
C2	EEG	uV	250
CZ	EEG	uV	250
C1	EEG	uV	250
C3	EEG	uV	250
C5	EEG	uV	250
TP7	EEG	uV	250
CP5	EEG	uV	250
CP3	EEG	uV	250
CP1	EEG	uV	250
CPZ	EEG	uV	250
CP2	EEG	uV	250
CP4	EEG	uV	250
P4	EEG	uV	250
P6	EEG	uV	250
P8	EEG	uV	250
PO8	EEG	uV	250
PO4	EEG	uV	250
P2	EEG	uV	250
PZ	EEG	uV	250
P1	EEG	uV	250
P3	EEG	uV	250
P5	EEG	uV	250
P7	EEG	uV	250
PO7	EEG	uV	250
PO3	EEG	uV	250
POZ	EEG	uV	250
O2	EEG	uV	250
OZ	EEG	uV	250
O1	EEG	uV	250
TP9	EEG	uV	250
A1	REF	uV	250
