name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description	impedance
chan1	SEEG	mV	1	7500	scalp	chan1	1000	referential/unipolar				3880.0
chan2	SEEG	mV	1	7500	scalp	chan2	1000	referential/unipolar				5090.0
chan3	SEEG	mV	1	7500	scalp	chan3	1000	referential/unipolar				7250.0
chan4	SEEG	mV	1	7500	scalp	chan4	1000	referential/unipolar				6120.0
chan5	SEEG	mV	1	7500	scalp	chan5	1000	referential/unipolar				6330.0
chan6	SEEG	mV	1	7500	scalp	chan6	1000	referential/unipolar				3760.0
chan7	SEEG	mV	1	7500	scalp	chan7	1000	referential/unipolar				1840.0
chan8	SEEG	mV	1	7500	scalp	chan8	1000	referential/unipolar				75.6
chan9	SEEG	mV	1	7500	scalp	chan9	1000	referential/unipolar				67.5
chan10	SEEG	mV	1	7500	scalp	chan10	1000	referential/unipolar				6210.0
chan11	SEEG	mV	1	7500	scalp	chan11	1000	referential/unipolar				6470.0
chan12	SEEG	mV	1	7500	scalp	chan12	1000	referential/unipolar				2760.0
chan13	SEEG	mV	1	7500	scalp	chan13	1000	referential/unipolar				76.0
chan14	SEEG	mV	1	7500	scalp	chan14	1000	referential/unipolar				47.7
chan15	SEEG	mV	1	7500	scalp	chan15	1000	referential/unipolar				47.2
chan16	SEEG	mV	1	7500	scalp	chan16	1000	referential/unipolar				56.6
chan17	SEEG	mV	1	7500	scalp	chan17	1000	referential/unipolar				114.0
chan18	SEEG	mV	1	7500	scalp	chan18	1000	referential/unipolar				57.9
chan19	SEEG	mV	1	7500	scalp	chan19	1000	referential/unipolar				63.6
chan20	SEEG	mV	1	7500	scalp	chan20	1000	referential/unipolar				54.6
chan21	SEEG	mV	1	7500	scalp	chan21	1000	referential/unipolar				55.6
chan22	SEEG	mV	1	7500	scalp	chan22	1000	referential/unipolar				59.8
chan23	SEEG	mV	1	7500	scalp	chan23	1000	referential/unipolar				72.8
chan24	SEEG	mV	1	7500	scalp	chan24	1000	referential/unipolar				57.7
chan25	SEEG	mV	1	7500	scalp	chan25	1000	referential/unipolar				54.2
chan26	SEEG	mV	1	7500	scalp	chan26	1000	referential/unipolar				365.0
chan27	SEEG	mV	1	7500	scalp	chan27	1000	referential/unipolar				57.6
chan28	SEEG	mV	1	7500	scalp	chan28	1000	referential/unipolar				55.9
chan29	SEEG	mV	1	7500	scalp	chan29	1000	referential/unipolar				115.0
chan30	SEEG	mV	1	7500	scalp	chan30	1000	referential/unipolar				96.0
chan31	SEEG	mV	1	7500	scalp	chan31	1000	referential/unipolar				58.4
chan32	SEEG	mV	1	7500	scalp	chan32	1000	referential/unipolar				8070.0
chan33	SEEG	mV	1	7500	scalp	chan33	1000	referential/unipolar				8760.0
chan34	SEEG	mV	1	7500	scalp	chan34	1000	referential/unipolar				8540.0
chan35	SEEG	mV	1	7500	scalp	chan35	1000	referential/unipolar				6890.0
chan36	SEEG	mV	1	7500	scalp	chan36	1000	referential/unipolar				554.0
chan37	SEEG	mV	1	7500	scalp	chan37	1000	referential/unipolar				644.0
chan38	SEEG	mV	1	7500	scalp	chan38	1000	referential/unipolar				607.0
chan39	SEEG	mV	1	7500	scalp	chan39	1000	referential/unipolar				3840.0
chan40	SEEG	mV	1	7500	scalp	chan40	1000	referential/unipolar				575.0
chan41	SEEG	mV	1	7500	scalp	chan41	1000	referential/unipolar				607.0
chan42	SEEG	mV	1	7500	scalp	chan42	1000	referential/unipolar				597.0
chan43	SEEG	mV	1	7500	scalp	chan43	1000	referential/unipolar				3990.0
chan44	SEEG	mV	1	7500	scalp	chan44	1000	referential/unipolar				621.0
chan45	SEEG	mV	1	7500	scalp	chan45	1000	referential/unipolar				628.0
chan46	SEEG	mV	1	7500	scalp	chan46	1000	referential/unipolar				618.0
chan47	SEEG	mV	1	7500	scalp	chan47	1000	referential/unipolar				611.0
chan48	SEEG	mV	1	7500	scalp	chan48	1000	referential/unipolar				613.0
chan49	SEEG	mV	1	7500	scalp	chan49	1000	referential/unipolar				604.0
chan50	SEEG	mV	1	7500	scalp	chan50	1000	referential/unipolar				2140.0
chan51	SEEG	mV	1	7500	scalp	chan51	1000	referential/unipolar				618.0
chan52	SEEG	mV	1	7500	scalp	chan52	1000	referential/unipolar				604.0
chan53	SEEG	mV	1	7500	scalp	chan53	1000	referential/unipolar				615.0
chan54	SEEG	mV	1	7500	scalp	chan54	1000	referential/unipolar				591.0
chan55	SEEG	mV	1	7500	scalp	chan55	1000	referential/unipolar				614.0
chan56	SEEG	mV	1	7500	scalp	chan56	1000	referential/unipolar				613.0
chan57	SEEG	mV	1	7500	scalp	chan57	1000	referential/unipolar				618.0
chan58	SEEG	mV	1	7500	scalp	chan58	1000	referential/unipolar				6820.0
chan59	SEEG	mV	1	7500	scalp	chan59	1000	referential/unipolar				607.0
chan60	SEEG	mV	1	7500	scalp	chan60	1000	referential/unipolar				613.0
chan61	SEEG	mV	1	7500	scalp	chan61	1000	referential/unipolar				7570.0
chan62	SEEG	mV	1	7500	scalp	chan62	1000	referential/unipolar				8960.0
chan63	SEEG	mV	1	7500	scalp	chan63	1000	referential/unipolar				609.0
chan64	SEEG	mV	1	7500	scalp	chan64	1000	referential/unipolar				610.0
