name	type	units	sampling_frequency	low_cutoff	high_cutoff	status
UPPT001	TRIG	V	100	n/a	n/a	good
UPPT002	TRIG	V	100	n/a	n/a	good
BG1-2910	MEGREFMAG	T	100	n/a	n/a	good
BG2-2910	MEGREFMAG	T	100	n/a	n/a	good
BG3-2910	MEGREFMAG	T	100	n/a	n/a	good
BP1-2910	MEGREFMAG	T	100	n/a	n/a	good
BP2-2910	MEGREFMAG	T	100	n/a	n/a	good
BP3-2910	MEGREFMAG	T	100	n/a	n/a	good
BR1-2910	MEGREFMAG	T	100	n/a	n/a	good
BR2-2910	MEGREFMAG	T	100	n/a	n/a	good
BR3-2910	MEGREFMAG	T	100	n/a	n/a	good
G11-2910	MEGREFMAG	T	100	n/a	n/a	good
G12-2910	MEGREFMAG	T	100	n/a	n/a	good
G13-2910	MEGREFMAG	T	100	n/a	n/a	good
G22-2910	MEGREFMAG	T	100	n/a	n/a	good
G23-2910	MEGREFMAG	T	100	n/a	n/a	good
P11-2910	MEGREFMAG	T	100	n/a	n/a	good
P12-2910	MEGREFMAG	T	100	n/a	n/a	good
P13-2910	MEGREFMAG	T	100	n/a	n/a	good
P22-2910	MEGREFMAG	T	100	n/a	n/a	good
P23-2910	MEGREFMAG	T	100	n/a	n/a	good
Q11-2910	MEGREFMAG	T	100	n/a	n/a	good
Q12-2910	MEGREFMAG	T	100	n/a	n/a	good
Q13-2910	MEGREFMAG	T	100	n/a	n/a	good
Q22-2910	MEGREFMAG	T	100	n/a	n/a	good
Q23-2910	MEGREFMAG	T	100	n/a	n/a	good
R11-2910	MEGREFMAG	T	100	n/a	n/a	good
R12-2910	MEGREFMAG	T	100	n/a	n/a	good
R13-2910	MEGREFMAG	T	100	n/a	n/a	good
R22-2910	MEGREFMAG	T	100	n/a	n/a	good
R23-2910	MEGREFMAG	T	100	n/a	n/a	good
MLC11-2910	MEGMAG	T	100	n/a	n/a	good
MLC12-2910	MEGMAG	T	100	n/a	n/a	good
MLC13-2910	MEGMAG	T	100	n/a	n/a	good
MLC14-2910	MEGMAG	T	100	n/a	n/a	good
MLC15-2910	MEGMAG	T	100	n/a	n/a	good
MLC16-2910	MEGMAG	T	100	n/a	n/a	good
MLC17-2910	MEGMAG	T	100	n/a	n/a	good
MLC21-2910	MEGMAG	T	100	n/a	n/a	good
MLC22-2910	MEGMAG	T	100	n/a	n/a	good
MLC23-2910	MEGMAG	T	100	n/a	n/a	good
MLC24-2910	MEGMAG	T	100	n/a	n/a	good
MLC25-2910	MEGMAG	T	100	n/a	n/a	good
MLC31-2910	MEGMAG	T	100	n/a	n/a	good
MLC32-2910	MEGMAG	T	100	n/a	n/a	good
MLC41-2910	MEGMAG	T	100	n/a	n/a	good
MLC42-2910	MEGMAG	T	100	n/a	n/a	good
MLC51-2910	MEGMAG	T	100	n/a	n/a	good
MLC52-2910	MEGMAG	T	100	n/a	n/a	good
MLC53-2910	MEGMAG	T	100	n/a	n/a	good
MLC54-2910	MEGMAG	T	100	n/a	n/a	good
MLC55-2910	MEGMAG	T	100	n/a	n/a	good
MLC61-2910	MEGMAG	T	100	n/a	n/a	good
MLC62-2910	MEGMAG	T	100	n/a	n/a	good
MLC63-2910	MEGMAG	T	100	n/a	n/a	good
MLF11-2910	MEGMAG	T	100	n/a	n/a	good
MLF12-2910	MEGMAG	T	100	n/a	n/a	good
MLF13-2910	MEGMAG	T	100	n/a	n/a	good
MLF14-2910	MEGMAG	T	100	n/a	n/a	good
MLF21-2910	MEGMAG	T	100	n/a	n/a	good
MLF22-2910	MEGMAG	T	100	n/a	n/a	good
MLF23-2910	MEGMAG	T	100	n/a	n/a	good
MLF24-2910	MEGMAG	T	100	n/a	n/a	good
MLF25-2910	MEGMAG	T	100	n/a	n/a	good
MLF31-2910	MEGMAG	T	100	n/a	n/a	good
MLF32-2910	MEGMAG	T	100	n/a	n/a	good
MLF33-2910	MEGMAG	T	100	n/a	n/a	good
MLF34-2910	MEGMAG	T	100	n/a	n/a	good
MLF35-2910	MEGMAG	T	100	n/a	n/a	good
MLF41-2910	MEGMAG	T	100	n/a	n/a	good
MLF42-2910	MEGMAG	T	100	n/a	n/a	good
MLF43-2910	MEGMAG	T	100	n/a	n/a	good
MLF44-2910	MEGMAG	T	100	n/a	n/a	good
MLF45-2910	MEGMAG	T	100	n/a	n/a	good
MLF46-2910	MEGMAG	T	100	n/a	n/a	good
MLF51-2910	MEGMAG	T	100	n/a	n/a	good
MLF52-2910	MEGMAG	T	100	n/a	n/a	good
MLF53-2910	MEGMAG	T	100	n/a	n/a	good
MLF54-2910	MEGMAG	T	100	n/a	n/a	good
MLF55-2910	MEGMAG	T	100	n/a	n/a	good
MLF56-2910	MEGMAG	T	100	n/a	n/a	good
MLF61-2910	MEGMAG	T	100	n/a	n/a	good
MLF62-2910	MEGMAG	T	100	n/a	n/a	good
MLF63-2910	MEGMAG	T	100	n/a	n/a	good
MLF64-2910	MEGMAG	T	100	n/a	n/a	good
MLF65-2910	MEGMAG	T	100	n/a	n/a	good
MLF66-2910	MEGMAG	T	100	n/a	n/a	good
MLF67-2910	MEGMAG	T	100	n/a	n/a	good
MLO11-2910	MEGMAG	T	100	n/a	n/a	good
MLO12-2910	MEGMAG	T	100	n/a	n/a	good
MLO13-2910	MEGMAG	T	100	n/a	n/a	good
MLO14-2910	MEGMAG	T	100	n/a	n/a	good
MLO21-2910	MEGMAG	T	100	n/a	n/a	good
MLO22-2910	MEGMAG	T	100	n/a	n/a	good
MLO23-2910	MEGMAG	T	100	n/a	n/a	good
MLO24-2910	MEGMAG	T	100	n/a	n/a	good
MLO31-2910	MEGMAG	T	100	n/a	n/a	good
MLO32-2910	MEGMAG	T	100	n/a	n/a	good
MLO33-2910	MEGMAG	T	100	n/a	n/a	good
MLO34-2910	MEGMAG	T	100	n/a	n/a	good
MLO41-2910	MEGMAG	T	100	n/a	n/a	good
MLO43-2910	MEGMAG	T	100	n/a	n/a	good
MLO44-2910	MEGMAG	T	100	n/a	n/a	good
MLO51-2910	MEGMAG	T	100	n/a	n/a	good
MLO52-2910	MEGMAG	T	100	n/a	n/a	good
MLO53-2910	MEGMAG	T	100	n/a	n/a	good
MLP11-2910	MEGMAG	T	100	n/a	n/a	good
MLP12-2910	MEGMAG	T	100	n/a	n/a	good
MLP21-2910	MEGMAG	T	100	n/a	n/a	good
MLP22-2910	MEGMAG	T	100	n/a	n/a	good
MLP23-2910	MEGMAG	T	100	n/a	n/a	good
MLP31-2910	MEGMAG	T	100	n/a	n/a	good
MLP32-2910	MEGMAG	T	100	n/a	n/a	good
MLP33-2910	MEGMAG	T	100	n/a	n/a	good
MLP34-2910	MEGMAG	T	100	n/a	n/a	good
MLP35-2910	MEGMAG	T	100	n/a	n/a	good
MLP41-2910	MEGMAG	T	100	n/a	n/a	good
MLP42-2910	MEGMAG	T	100	n/a	n/a	good
MLP43-2910	MEGMAG	T	100	n/a	n/a	good
MLP44-2910	MEGMAG	T	100	n/a	n/a	good
MLP45-2910	MEGMAG	T	100	n/a	n/a	good
MLP51-2910	MEGMAG	T	100	n/a	n/a	good
MLP52-2910	MEGMAG	T	100	n/a	n/a	good
MLP53-2910	MEGMAG	T	100	n/a	n/a	good
MLP54-2910	MEGMAG	T	100	n/a	n/a	good
MLP55-2910	MEGMAG	T	100	n/a	n/a	good
MLP56-2910	MEGMAG	T	100	n/a	n/a	good
MLP57-2910	MEGMAG	T	100	n/a	n/a	good
MLT11-2910	MEGMAG	T	100	n/a	n/a	good
MLT12-2910	MEGMAG	T	100	n/a	n/a	good
MLT13-2910	MEGMAG	T	100	n/a	n/a	good
MLT14-2910	MEGMAG	T	100	n/a	n/a	good
MLT15-2910	MEGMAG	T	100	n/a	n/a	good
MLT16-2910	MEGMAG	T	100	n/a	n/a	good
MLT21-2910	MEGMAG	T	100	n/a	n/a	good
MLT22-2910	MEGMAG	T	100	n/a	n/a	good
MLT23-2910	MEGMAG	T	100	n/a	n/a	good
MLT24-2910	MEGMAG	T	100	n/a	n/a	good
MLT25-2910	MEGMAG	T	100	n/a	n/a	good
MLT26-2910	MEGMAG	T	100	n/a	n/a	good
MLT27-2910	MEGMAG	T	100	n/a	n/a	good
MLT31-2910	MEGMAG	T	100	n/a	n/a	good
MLT32-2910	MEGMAG	T	100	n/a	n/a	good
MLT33-2910	MEGMAG	T	100	n/a	n/a	good
MLT34-2910	MEGMAG	T	100	n/a	n/a	good
MLT35-2910	MEGMAG	T	100	n/a	n/a	good
MLT36-2910	MEGMAG	T	100	n/a	n/a	good
MLT37-2910	MEGMAG	T	100	n/a	n/a	good
MLT41-2910	MEGMAG	T	100	n/a	n/a	good
MLT42-2910	MEGMAG	T	100	n/a	n/a	good
MLT43-2910	MEGMAG	T	100	n/a	n/a	good
MLT44-2910	MEGMAG	T	100	n/a	n/a	good
MLT45-2910	MEGMAG	T	100	n/a	n/a	good
MLT46-2910	MEGMAG	T	100	n/a	n/a	good
MLT47-2910	MEGMAG	T	100	n/a	n/a	good
MLT51-2910	MEGMAG	T	100	n/a	n/a	good
MLT52-2910	MEGMAG	T	100	n/a	n/a	good
MLT53-2910	MEGMAG	T	100	n/a	n/a	good
MLT54-2910	MEGMAG	T	100	n/a	n/a	good
MLT55-2910	MEGMAG	T	100	n/a	n/a	good
MLT56-2910	MEGMAG	T	100	n/a	n/a	good
MLT57-2910	MEGMAG	T	100	n/a	n/a	good
MRC11-2910	MEGMAG	T	100	n/a	n/a	good
MRC12-2910	MEGMAG	T	100	n/a	n/a	good
MRC13-2910	MEGMAG	T	100	n/a	n/a	good
MRC14-2910	MEGMAG	T	100	n/a	n/a	good
MRC15-2910	MEGMAG	T	100	n/a	n/a	good
MRC16-2910	MEGMAG	T	100	n/a	n/a	good
