onset	duration	trial_type	value	sample
3.48	0	stim_left	11	348
3.69	0	stim_right	22	369
4.3	0	stim_left	11	430
4.52	0	stim_right	22	452
5.13	0	choice_a	33	513
5.34	0	choice_b	44	534
5.95	0	choice_a	33	595
6.16	0	choice_b	44	616
6.77	0	stim_left	11	677
6.98	0	stim_right	22	698
7.59	0	stim_left	11	759
7.8	0	stim_right	22	780
8.41	0	stim_left	11	841
8.63	0	stim_right	22	863
9.05	0	fixation	1	905
9.06	0	feedback	55	906
11.16	0	choice_a	33	1116
11.38	0	choice_b	44	1138
11.99	0	stim_left	11	1199
12.2	0	stim_right	22	1220
12.81	0	stim_left	11	1281
13.02	0	stim_right	22	1302
13.63	0	stim_left	11	1363
13.84	0	stim_right	22	1384
14.45	0	stim_left	11	1445
14.66	0	stim_right	22	1466
15.27	0	stim_left	11	1527
15.49	0	stim_right	22	1549
15.66	0	fixation	1	1566
15.67	0	feedback	55	1567
17.77	0	choice_a	33	1777
17.98	0	choice_b	44	1798
18.59	0	stim_left	11	1859
18.8	0	stim_right	22	1880
19.42	0	stim_left	11	1942
19.63	0	stim_right	22	1963
20.24	0	stim_left	11	2024
20.45	0	stim_right	22	2045
21.06	0	stim_left	11	2106
21.27	0	stim_right	22	2127
21.88	0	stim_left	11	2188
22.09	0	stim_right	22	2209
22.25	0	fixation	1	2225
22.25	0	feedback	55	2225
24.36	0	choice_a	33	2436
24.58	0	choice_b	44	2458
25.19	0	choice_a	33	2519
25.4	0	choice_b	44	2540
26.01	0	stim_left	11	2601
26.22	0	stim_right	22	2622
26.83	0	choice_a	33	2683
27.04	0	choice_b	44	2704
27.65	0	choice_a	33	2765
27.87	0	choice_b	44	2787
28.48	0	choice_a	33	2848
28.69	0	choice_b	44	2869
28.84	0	response	8	2884
28.85	0	feedback	55	2885
