name	type	units	sampling_frequency	reference	status
CH1	EMG	mV	2000.0	n/a	good
CH2	EMG	mV	2000.0	n/a	good
CH3	EMG	mV	2000.0	n/a	good
CH4	EMG	mV	2000.0	n/a	good
CH5	EMG	mV	2000.0	n/a	good
CH6	EMG	mV	2000.0	n/a	good
CH7	EMG	mV	2000.0	n/a	good
CH8	EMG	mV	2000.0	n/a	good
CH9	EMG	mV	2000.0	n/a	good
CH10	EMG	mV	2000.0	n/a	good
CH11	EMG	mV	2000.0	n/a	good
CH12	EMG	mV	2000.0	n/a	good
CH13	EMG	mV	2000.0	n/a	good
CH14	EMG	mV	2000.0	n/a	good
CH15	EMG	mV	2000.0	n/a	good
CH16	EMG	mV	2000.0	n/a	good
CH17	EMG	mV	2000.0	n/a	good
CH18	EMG	mV	2000.0	n/a	good
CH19	EMG	mV	2000.0	n/a	good
CH20	EMG	mV	2000.0	n/a	good
CH21	EMG	mV	2000.0	n/a	good
CH22	EMG	mV	2000.0	n/a	good
CH23	EMG	mV	2000.0	n/a	good
CH24	EMG	mV	2000.0	n/a	good
CH25	EMG	mV	2000.0	n/a	good
CH26	EMG	mV	2000.0	n/a	good
CH27	EMG	mV	2000.0	n/a	good
CH28	EMG	mV	2000.0	n/a	good
CH29	EMG	mV	2000.0	n/a	good
CH30	EMG	mV	2000.0	n/a	good
CH31	EMG	mV	2000.0	n/a	good
CH32	EMG	mV	2000.0	n/a	good
CH39	EMG	mV	2000.0	n/a	good
CH40	EMG	mV	2000.0	n/a	good
CH41	EMG	mV	2000.0	n/a	good
CH42	EMG	mV	2000.0	n/a	good
CH43	EMG	mV	2000.0	n/a	good
CH44	EMG	mV	2000.0	n/a	good
CH45	EMG	mV	2000.0	n/a	good
CH46	EMG	mV	2000.0	n/a	good
CH47	EMG	mV	2000.0	n/a	good
CH48	EMG	mV	2000.0	n/a	good
CH49	EMG	mV	2000.0	n/a	good
CH50	EMG	mV	2000.0	n/a	good
CH51	EMG	mV	2000.0	n/a	good
CH52	EMG	mV	2000.0	n/a	good
CH53	EMG	mV	2000.0	n/a	good
CH54	EMG	mV	2000.0	n/a	good
CH55	EMG	mV	2000.0	n/a	good
CH56	EMG	mV	2000.0	n/a	good
CH57	EMG	mV	2000.0	n/a	good
CH58	EMG	mV	2000.0	n/a	good
CH59	EMG	mV	2000.0	n/a	good
CH60	EMG	mV	2000.0	n/a	good
CH61	EMG	mV	2000.0	n/a	good
CH62	EMG	mV	2000.0	n/a	good
CH63	EMG	mV	2000.0	n/a	good
CH64	EMG	mV	2000.0	n/a	good
CH65	EMG	mV	2000.0	n/a	good
CH66	EMG	mV	2000.0	n/a	good
CH67	EMG	mV	2000.0	n/a	good
CH68	EMG	mV	2000.0	n/a	good
CH69	EMG	mV	2000.0	n/a	good
CH70	EMG	mV	2000.0	n/a	good
